Paper,DOI,Publication Year,Corresponding Author,Email,Physical Address,Analyte Polymer,Critical Component,Architecture,Critical Condition Basis,Column Name,Stationary Phase Chemistry,Pore Size,Column Dimensions,Mobile Phase Solvents,Mobile Phase Ratio,Mobile Phase Ratio Units,Aqueous pH,Aqueous Salt Added,Aqueous Salt Type,Aqueous Salt Concentration,Temperature (°C),Flow Rate,Detector,Consensus Confidence,Qwen Confidence,Mistral Confidence,Evidence Text,Notes
polymerPaper1.pdf,10.1021/ma102750s,2011,Wolf Hiller,wolf.hiller@tu-dortmund.de,"Faculty of Chemistry, TU Dortmund, Otto-Hahn-Str. 6, 44227 Dortmund, Germany","polyisoprene (1,4-PI)","1,4-isoprene units",linear,elution independent of molar mass,Nucleosil C18,reversed phase C18,"100-5, 300-5, 1000-7",250 x 4.6 mm i.d.,"butanone, cyclohexane",92:8,vol %,,False,,,29,0.5 mL min-1,1H NMR,explicit,explicit,missed,"If the composition of the two solvents is 92/8 vol %, these conditions are obtained for a temperature of 29 C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses.","Samples contained predominantly 1,4-isoprene units (approx 94 mol%) with small amounts of 3,4-isoprene units."
polymerPaper1.pdf,10.1021/ma102750s,2011,Wolf Hiller,wolf.hiller@tu-dortmund.de,"Faculty of Chemistry, TU Dortmund, Otto-Hahn-Str. 6, 44227 Dortmund, Germany",polyisoprene,"1,4-PI",linear,"critical conditions of 1,4-PI",Nucleosil C18,reversed phase C18,"100-5, 300-5, 1000-7",250 x 4.6 mm i.d.,"butanone, cyclohexane",92:8,vol %,null,False,null,null,29,0.5 mL min^-1,1H NMR,explicit,missed,explicit,"It can be seen that indeed near-critical conditions can be achieved by using butanone/cyclohexane mixtures as the mobile phase. If the composition of the two solvents is 92/8 vol %, these conditions are obtained for a temperature of 29 C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses.","Samples contained predominantly 1,4-isoprene units (approx 94 mol%) with small amounts of 3,4-isoprene units."
Lee2000.pdf,10.1021/ma000807b,2000,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Center for Integrated Molecular Systems, Pohang University of Science and Technology, Pohang, 790-784, Korea",Cyclic Polystyrene,Linear Polystyrene,Linear,Chromatographic critical condition of linear PS,Nucleosil C18AB,C18 bonded silica,100 Å,250 x 4.6 mm,"CH2Cl2, CH3CN",57/43,v/v,,False,,,43,0.5 mL/min,,explicit,explicit,missed,"For LCCC system, a single C18 bonded silica column (Nucleosil C18AB, 100 Å pore, 250 × 4.6 mm) was used. In LCCC experiments, the column was put in a jacket connected with a bath/circulator so that the column temperature was kept constant at 43 °C. The mobile phase was a mixture of CH2Cl2/CH3CN (57/43, v/v), and the flow rate was 0.5 mL/min.",The critical condition was established for linear PS (elution independent of MW at ~5.4 min) to separate cyclic PS contaminants.
[49] Pasch1993.pdf,,1993,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",PMMA,PMMA,linear,critical point of adsorption,Nucleosil Si-100,silica gel,,200 x 4 mm i.d.,"methyl ethyl ketone, cyclohexane",73:27,vol%,,False,,,,,Waters differential RI detector R401,explicit,explicit,explicit,"At a composition of the mobile phase of 100 vol% MEK, a size exclusion mode is operating... When cyclohexane is added to MEK the elution behaviour of PMMA changes dramatically... at 73 vol% MEK/27 vol% cyclohexane a vertical line is obtained. This corresponds to the critical conditions of PMMA where molar mass does not contribute to retention.",Used to separate PS-PMMA and PVC-PMMA blends. PS and PVC elute in SEC mode under these conditions.
[49] Pasch1993.pdf,,1993,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",PMMA,PMMA,linear,critical point of adsorption,LiChrospher Si2300 and Si-1000,silica,,200 x 4 mm i.d.,"methyl ethyl ketone, cyclohexane",70:30,vol%,,False,,,,,differential RI detector R401,explicit,explicit,explicit,"For this column system... the mobile phase composition has to be adjusted accordingly. As can be seen, the critical point of PMMA is shifted to a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane... At this point PS-PMMA and PVC-PMMA blends may be separated into their components.",Two-column system (Si-300 and Si-1000) used for higher molar mass samples. Resolution noted as lower than Si-100 due to larger particle size (10 um).
[49] Pasch1993.pdf,,1993,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",PS,PMMA,linear,critical point of adsorption,Nucleosil Si-100,silica,,200 x 4 mm i.d.,"methyl ethyl ketone, cyclohexane",73:27,vol%,,False,,,,,Waters differential RI detector R401,explicit,missed,explicit,At the critical point of PMMA (73 vol% MEK/27 vol% cyclohexane) a complete separation of the elution zones of PMMA and PS is achieved.,
[49] Pasch1993.pdf,,1993,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",PVC,PMMA,linear,critical point of adsorption,Nucleosil Si-100,silica,,200 x 4 mm i.d.,"methyl ethyl ketone, cyclohexane",73:27,vol%,,False,,,,,Waters differential RI detector R401,explicit,missed,explicit,"Again, in the first case the blend components are only separated when both are of relatively low molar mass. In all other cases only a certain tailing of the elution profiles indicates an inhomogeneity of the sample. A completely different picture is obtained when the blends are separated at the critical point of PMMA. In this case, similar to the PS-PMMA blends, baseline-separated peaks are obtained for the blend components.",
[49] Pasch1993.pdf,,1993,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",PS,PMMA,linear,critical point of adsorption,LiChrospher Si2300,silica,,200 x 4 mm i.d.,"methyl ethyl ketone, cyclohexane",70:30,vol%,,False,,,,,differential RI detector R401,explicit,missed,explicit,"For this column system, which has slightly different silica surface characteristics, the mobile phase composition has to be adjusted accordingly. As can be seen, the critical point of PMMA is shifted to a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane (Figure 5, upper right corner). At this point PS-PMMA and PVC-PMMA blends may be separated into their components.",
[49] Pasch1993.pdf,,1993,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",PVC,PMMA,linear,critical point of adsorption,LiChrospher Si2300,silica,,200 x 4 mm i.d.,"methyl ethyl ketone, cyclohexane",70:30,vol%,,False,,,,,differential RI detector R401,explicit,missed,explicit,"For this column system, which has slightly different silica surface characteristics, the mobile phase composition has to be adjusted accordingly. As can be seen, the critical point of PMMA is shifted to a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane (Figure 5, upper right corner). At this point PS-PMMA and PVC-PMMA blends may be separated into their components.",
Im2008.pdf,10.1021/ma702377f,2008,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea",linear polystyrene,linear polystyrene,linear,coelution of linear PS standards,Kromasil C18,C18 bonded silica,100 Å,150 × 4.6 mm,"CH2Cl2, CH3CN",57/43,v/v,,False,,,33.3,0.5 mL/min,UV absorption detector,explicit,explicit,missed,"The critical condition was found as 33.3 °C for the 100 Å pore column... Column: Kromasil C18, 100 Å pore, 5 µm particle, 150 × 4.6 mm. Column temperature: 33.3 °C. Eluent: CH2Cl2/CH3CN (57/43, v/v) at a flow rate of 0.5 mL/min.",Used to analyze star-shaped PS retention behavior.
