Paper,DOI,Publication Year,Corresponding Author,Email,Physical Address,Analyte Polymer,Critical Component,Architecture,Critical Condition Basis,Column Name,Stationary Phase Chemistry,Column Mode,Pore Size,Column Dimensions,Mobile Phase Solvents,Mobile Phase Ratio,Mobile Phase Ratio Units,Aqueous pH,Aqueous Salt Added,Aqueous Salt Type,Aqueous Salt Concentration,Temperature (°C),Flow Rate,Detector,Consensus Confidence,Qwen Confidence,Mistral Confidence,Evidence: Critical Condition,Evidence: Critical Component,Evidence: Column Name,Evidence: Mobile Phase Solvents,Evidence: Mobile Phase Ratio,Evidence: Temperature,Evidence: Pore Size,Evidence: Flow Rate,Notes
[124] Lee2001_paper3.pdf,10.1021/ac001219z,2001,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",PEO-b-PLLA,PEO,triblock,critical condition of PEO block,LUNA C18,C18,Reversed Phase,100-Å,250 × 4.6 mm,"acetonitrile, water",60/40,v/v,,False,,,68,,refractive index detector; UV-visible absorption detector,explicit,explicit,explicit,"The critical condition of liquid chromatography is the transition point of the separation mode between size exclusion and adsorption (or partition) when a porous column packing material is used for the separation of macromolecules. At the critical point of a particular polymer species, retention of that polymer becomes independent of the molecular weight.",the critical condition of PEO block,"a reversed-phase column (LUNA C18, 100-Å pore size, 250 × 4.6 mm)","a mixture of acetonitrile (ACN, Aldrich HPLC grade) and water (deionized and filtered with a 0.45- _µ_ m filter)",an ACN/water mixture at the ratio of 60/40 (v/ v),a column temperature of 68 °C,100-Å pore size,,Condition established for diblock copolymer analysis.
[124] Lee2001_paper3.pdf,10.1021/ac001219z,2001,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",PLLA-b-PEO-b-PLLA,PEO,triblock,critical condition of PEO block,LUNA C18,C18,Reversed Phase,100-Å,250 × 4.6 mm,"acetonitrile, water",47:53,v/v,,False,,,37,,refractive index detector; UV-visible absorption detector,explicit,explicit,explicit,"The critical condition of liquid chromatography is the transition point of the separation mode between size exclusion and adsorption (or partition) when a porous column packing material is used for the separation of macromolecules. At the critical point of a particular polymer species, retention of that polymer becomes independent of the molecular weight.",the critical condition of PEO block,"a reversed-phase column (LUNA C18, 100-Å pore size, 250 × 4.6 mm)","a mixture of acetonitrile (ACN, Aldrich HPLC grade) and water (deionized and filtered with a 0.45- _µ_ m filter)","an ACN/water mixture (47/53, v/v)",a column temperature of 37 °C,100-Å pore size,,First condition used for triblock copolymer analysis (Figure 3).
[124] Lee2001_paper3.pdf,10.1021/ac001219z,2001,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",PLLA-b-PEO-b-PLLA,PEO,triblock,critical condition of PEO block,LUNA C18,C18,Reversed Phase,100-Å,250 × 4.6 mm,"acetonitrile, water",54:46,v/v,,False,,,54,,refractive index detector; UV-visible absorption detector,explicit,explicit,explicit,"The critical condition of liquid chromatography is the transition point of the separation mode between size exclusion and adsorption (or partition) when a porous column packing material is used for the separation of macromolecules. At the critical point of a particular polymer species, retention of that polymer becomes independent of the molecular weight.",the critical condition of PEO block,"a reversed-phase column (LUNA C18, 100-Å pore size, 250 × 4.6 mm)","a mixture of acetonitrile (ACN, Aldrich HPLC grade) and water (deionized and filtered with a 0.45- _µ_ m filter)","an ACN/water mixture (54/46, v/v)",a column temperature of 54 °C,100-Å pore size,,Second condition used for triblock copolymer analysis with longer PLLA blocks (Figure 5).
[223] Hiller2011_paper1.pdf,10.1021/ma102750s,2011,Wolf Hiller,wolf.hiller@tu-dortmund.de,"Faculty of Chemistry, TU Dortmund, Otto-Hahn-Str. 6, 44227 Dortmund, Germany","1,4-polyisoprene","1,4-isoprene units",linear,elution independent of molar mass,Nucleosil C18,C18,Reversed Phase,"100-5, 300-5, 1000-7",250 x 4.6 mm i.d.,"butanone, cyclohexane",92/8,vol %,,False,,,29,0.5 mL min⁻¹,1H NMR,explicit,explicit,missed,"If the composition of the two solvents is 92/8 vol %, these conditions are obtained for a temperature of 29 C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses.","critical conditions of 1,4-PI","three reversed phase Nucleosil C18 columns (100-5, 300-5, and 1000-7)",The mobile phase was a mixture of butanone and cyclohexane.,92/8 vol %,29 C,"100-5, 300-5, and 1000-7",0.5 mL min⁻¹,"The text states that 1,4-PI samples elute at the same retention volume irrespective of molar mass under these conditions. The samples are copolymers containing predominantly 1,4- and 3,4-isoprene units, but the critical condition is established for the 1,4-isoprene moiety."
[223] Hiller2011_paper1.pdf,10.1021/ma102750s,2011,Wolf Hiller; Harald Pasch; Thorsten Hofe,,"Faculty of Chemistry, TU Dortmund, Otto-Hahn-Str. 6, 44227 Dortmund, Germany; Department of Chemistry and Polymer Science, University of Stellenbosch, Private Bag X1, 7602 Matieland, South Africa; PSS Polymer Standards Service GmbH, In der Dalheimer Wiese 5, 55120 Mainz, Germany","1,4-polyisoprene","1,4-polyisoprene",linear,"critical conditions of 1,4-PI","three RP columns of C18 (100-5, 300-5, 1000-7)",C18,Reversed Phase,,250 4.6 mm i.d.,"butanone, cyclohexane",92:8,vol %,,False,,,29,0.5 mL min[-][1],NMR,explicit,missed,explicit,"critical conditions of 1,4-PI","1,4-PI","three RP columns of C18 (100-5, 300-5, 1000-7)",butanone/cyclohexane,92:8 vol %,29 C,,0.5 mL min[-][1],
[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",Poly(propylene oxide),PO block,linear,Critical adsorption point (CAP) for PO,Jordi Gel DVB 500 RP,poly(divinylbenzene),Reversed Phase,500 A,250 x 4.6 mm,"acetone, water",92.42,wt%,,False,,,25.0,0.5 ml/min,RI,explicit,explicit,missed,CAP for PO is found at about 90% acetone,CAP for PO,Jordi Gel DVB 500 RP,acetone water,92.42 wt% acetone,temperature of 25.0 8C was maintained,nominal pore sizeZ500 A,0.5 ml/min,Used for analysis of poloxamers (EO-PO-EO and PO-EO-PO) where EO elutes in SEC mode.
[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",Poly(propylene oxide),PO block,linear,Critical adsorption point (CAP) for PO,Discovery HS-PEG,silica-based PEG phase,Reversed Phase,120 A,250 x 4.6 mm,"acetone, water",44.52,wt%,,False,,,25.0,0.5 ml/min,ELSD,explicit,explicit,missed,CAP for PO was found on the Discovery HS-PEG column,CAP for PO,Discovery HS-PEG,acetone water,44.52 wt% acetone,temperature of 25.0 8C was maintained,nominal pore sizeZ 120 A,0.5 ml/min,Used for analysis of poloxamers with shorter PO blocks. EO elutes in SEC mode.
[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",Poly(ethylene oxide),EO block,linear,Critical adsorption point (CAP) for EO,Nucleosil 100-5 OH,silica-based Diol phase,Normal Phase,100 A,250 x 4.6 mm,"acetone, water",78.54,wt%,,False,,,25.0,0.5 ml/min,RI,explicit,explicit,missed,CAP for EO exists at 78.54% (w/w) acetone,CAP for EO,Nucleosil 100-5 OH,acetone water,78.54% (w/w) acetone,temperature of 25.0 8C was maintained,nominal pore sizeZ100 A,0.5 ml/min,Used for analysis of poloxamers where PO elutes in SEC mode.
[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",EO–PO–EO triblock copolymer,EO,EO–PO–EO triblock,LCCC,Nucleosil 100-5 OH 5 mm,Diol,Normal Phase,100 A,250 x 4.6 mm,"acetone, water",78.54,% (w/w),,False,,,25.0,0.5 ml/min,RI,explicit,missed,explicit,"Under these conditions, the other (non-critical) block elutes in exclusion mode, which allows an independent determination of the molar mass distribution of the individual blocks.","a separation according to the PO block(s) may be achieved by a SEC or a LAC mechanism, and vice versa.","Nucleosil 100-5 OH 5 mm, silica-based Diol phase; 250! 4.6 mm; particle diameter: 5 mm; nominal pore sizeZ100 A",acetone water 78:12 (w/w),78.54% (w/w),25.0 8C,nominal pore sizeZ100 A,0.5 ml/min,
[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",EO–PO–EO triblock copolymer,PO,EO–PO–EO triblock,LCCC,Jordi Gel DVB 500 RP,poly(divinyl benzene),Reversed Phase,500 A,250 x 4.6 mm,"acetone, water",92.42,% (w/w),,False,,,25.0,0.5 ml/min,RI,explicit,missed,explicit,"Under these conditions, the other (non-critical) block elutes in exclusion mode, which allows an independent determination of the molar mass distribution of the individual blocks.","a separation according to the PO block(s) may be achieved by a SEC or a LAC mechanism, and vice versa.",Jordi Gel DVB 500 RP: 100% poly(divinylbenzene); 250!4.6 mm; particle diameterZ5 mm; nominal pore sizeZ500 A,acetone water 92:8 (w/w),92.42% (w/w),25.0 8C,nominal pore sizeZ500 A,0.5 ml/min,
