Paper,DOI,Publication Year,Corresponding Author,Email,Physical Address,Analyte Polymer,Critical Component,Architecture,Critical Condition Basis,Column Name,Stationary Phase Chemistry,Column Mode,Pore Size,Column Dimensions,Mobile Phase Solvents,Mobile Phase Ratio,Mobile Phase Ratio Units,Aqueous pH,Aqueous Salt Added,Aqueous Salt Type,Aqueous Salt Concentration,Temperature (°C),Flow Rate,Detector,Consensus Confidence,Qwen Confidence,Mistral Confidence,Evidence: Critical Condition,Evidence: Critical Component,Evidence: Column Name,Evidence: Mobile Phase Solvents,Evidence: Mobile Phase Ratio,Evidence: Temperature,Evidence: Pore Size,Evidence: Flow Rate,Notes
Im2008.pdf,,2008,Taihyun Chang; Yongmei Wang,tc@postech.ac.kr; ywang@memphis.edu,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea; Department of Chemistry, The University of Memphis, Memphis, Tennessee 38152",linear PS,linear PS,linear,coelution of linear PS,Kromasil C18,C18,Reversed Phase,100 Å,150 × 4.6 mm,"CH2Cl2, CH3CN",57/43,v/v,,False,,,33.3,0.5 mL/min,,explicit,,,The critical condition was found as 33.3 °C for the 100 Å pore column.,The critical condition was found as 33.3 °C for the 100 Å pore column.,"Column: Kromasil C18, 100 Å pore, 5 µm particle, 150 × 4.6 mm.","Eluent: CH2Cl2/CH3CN (57/43, v/v)","Eluent: CH2Cl2/CH3CN (57/43, v/v)",Column temperature: 33.3 °C.,"Column: Kromasil C18, 100 Å pore, 5 µm particle, 150 × 4.6 mm.","Eluent: CH2Cl2/CH3CN (57/43, v/v) at a flow rate of 0.5 mL/min.",
Im2008.pdf,,2008,Taihyun Chang; Yongmei Wang,tc@postech.ac.kr; ywang@memphis.edu,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea; Department of Chemistry, The University of Memphis, Memphis, Tennessee 38152",linear PS,linear PS,linear,coelution of linear PS,Nucleosil C18,C18,Reversed Phase,500 Å,250 × 4.6 mm,"CH2Cl2, CH3CN",57/43,v/v,,False,,,30.4,0.5 mL/min,,explicit,,,The critical condition was found as 30.4 °C for the 500 Å pore column.,The critical condition was found as 30.4 °C for the 500 Å pore column.,"Column: Nucleosil C18, 500 Å pore, 7 µm particle, 250 × 4.6 mm i.d.","Eluent: CH2Cl2/CH3CN (57/43, v/v)","Eluent: CH2Cl2/CH3CN (57/43, v/v)",Column temperature: 30.4 °C.,"Column: Nucleosil C18, 500 Å pore, 7 µm particle, 250 × 4.6 mm i.d.","Eluent: CH2Cl2/CH3CN (57/43, v/v) at a flow rate of 0.5 mL/min.",
Ziebarth_2016.pdf,10.1021/acs.macromol.6b01925,2016,Yongmei Wang; Taihyun Chang,ywang@memphis.edu; tc@postech.ac.kr,"Department of Chemistry, The University of Memphis, Memphis, Tennessee 38154, United States; Division of Advanced Materials Science and Department of Chemistry, Pohang University of Science and Technology (POSTECH), Pohang 37673, Korea",Ring-PS,Ring-PS,ring,coelution point,Nucleosil C18,C18,Reversed Phase,100 Å,250 × 9.8 mm,"CH2Cl2, CH3CN",58/42,v/v,,False,,,19,2 mL/min,light scattering detector,explicit,,,the temperature at which different molar mass linear PS precursors coelute,Ring-PS,"Nucleosil C18, 250 × 9.8 mm, 100 Å pore, 5 μm",CH2Cl2/CH3CN,"58/42, v/v",19 °C,100 Å pore,2 mL/min,
Ziebarth_2016.pdf,10.1021/acs.macromol.6b01925,2016,Yongmei Wang; Taihyun Chang,ywang@memphis.edu; tc@postech.ac.kr,"Department of Chemistry, The University of Memphis, Memphis, Tennessee 38154, United States; Division of Advanced Materials Science and Department of Chemistry, Pohang University of Science and Technology (POSTECH), Pohang 37673, Korea",Ring-PS,Ring-PS,ring,coelution point,Nucleosil C18,C18,Reversed Phase,100 Å,250 × 4.6 mm,"CH2Cl2, CH3CN",58/42,v/v,,False,,,17.3,0.5 mL/min,light scattering detector,explicit,,,the temperature at which different molar mass linear PS precursors coelute,Ring-PS,"Nucleosil C18, 250 × 4.6 mm, 100 Å, 5 μm",CH2Cl2/CH3CN,"58/42, v/v",17.3 °C,100 Å,0.5 mL/min,
Ziebarth_2016.pdf,10.1021/acs.macromol.6b01925,2016,Yongmei Wang; Taihyun Chang,ywang@memphis.edu; tc@postech.ac.kr,"Department of Chemistry, The University of Memphis, Memphis, Tennessee 38154, United States; Division of Advanced Materials Science and Department of Chemistry, Pohang University of Science and Technology (POSTECH), Pohang 37673, Korea",Lu-PS,Lu-PS,linear,coelution point,Nucleosil C18,C18,Reversed Phase,100 Å,250 × 4.6 mm,"CH2Cl2, CH3CN",58/42,v/v,,False,,,14.95,0.5 mL/min,light scattering detector,explicit,,,the temperature at which different molar mass linear PS precursors coelute,Lu-PS,"Nucleosil C18, 250 × 4.6 mm, 100 Å, 5 μm",CH2Cl2/CH3CN,"58/42, v/v",14.95 °C,100 Å,0.5 mL/min,
Ziebarth_2016.pdf,10.1021/acs.macromol.6b01925,2016,Yongmei Wang; Taihyun Chang,ywang@memphis.edu; tc@postech.ac.kr,"Department of Chemistry, The University of Memphis, Memphis, Tennessee 38154, United States; Division of Advanced Materials Science and Department of Chemistry, Pohang University of Science and Technology (POSTECH), Pohang 37673, Korea",Ls-PS,Ls-PS,linear,coelution point,Nucleosil C18,C18,Reversed Phase,100 Å,250 × 4.6 mm,"CH2Cl2, CH3CN",58/42,v/v,,False,,,14.8,0.5 mL/min,light scattering detector,explicit,,,the temperature at which different molar mass linear PS precursors coelute,Ls-PS,"Nucleosil C18, 250 × 4.6 mm, 100 Å, 5 μm",CH2Cl2/CH3CN,"58/42, v/v",14.8 °C,100 Å,0.5 mL/min,
[217] Gao2016.pdf,10.1016/j.polymer.2016.08.086,2016,Yingfeng Tu; Xiulin Zhu,tuyingfeng@suda.edu.cn,"Suzhou Key Laboratory of Macromolecular Design and Precision Synthesis, Jiangsu Key Laboratory of Advanced Functional Polymer Design and Application, State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou 215123, China",cyclic polystyrenes,linear polystyrenes,linear,Liquid chromatography at critical condition (LCCC),Nucleosil bare silica,bare silica,Normal Phase,50 Å,"250 x 4.6 mm, 5 mm bead size","THF, n-hexane",42/58,v/v,,False,,,43,0.5 mL/min,,explicit,,,"Liquid chromatography at critical condition (LCCC) was conducted with a single C18 bonded silica column (Nucleosil bare silica, 50 Å pore, 250 x 4.6 mm, 5 mm bead size), following the procedures as reported [29,48e50].","The small peaks (denoted as #1) at the left side of major peaks (denoted as #2) are from linear contaminants, since the value is similar to that from corresponding l-PS-N3 linear precursors.","Nucleosil bare silica, 50 Å pore, 250 x 4.6 mm, 5 mm bead size",THF/n-hexane,42/58,43 ° C,50 Å pore,0.5 mL/min,
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa; H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",PS,PS,linear,LCCC,Symmetry 300,octadecyl,Reversed Phase,300 A,250 mm × 4.6 mm,"THF, DMF",18–82,%,,False,,,30,0.5 mL/min,ELS,explicit,,,Liquid chromatography at the critical conditions of PS,PS,Symmetry 300,THF–DMF,18–82,30[◦] C,300 A[˚],0.5 mL/min,
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa; H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",PEO,PEO,linear,LCCC,Nucleosil Si 300,silica,Normal Phase,300 A,250 mm × 4.6 mm,"THF, DMF",96–4,%,,False,,,30,0.5 mL/min,ELS,explicit,,,Liquid chromatography at the critical conditions of PEO,PEO,Nucleosil Si 300,THF–DMF,96–4,30[◦] C,300 A[˚],0.5 mL/min,
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa; H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",PS-b-PEO,PS,linear,LCCC,Symmetry 300,octadecyl,Reversed Phase,300 A,250 mm × 4.6 mm,"THF, DMF",18–82,%,,False,,,30,0.5 mL/min,ELS,explicit,,,Liquid chromatography at the critical conditions of PS,PS,Symmetry 300,THF–DMF,18–82,30[◦] C,300 A[˚],0.5 mL/min,
